Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-79975445,17-01-2023,IN_KL_ERN,Villa,5,2520,15,6.56,34.61,46.2,20.17 kWh,22.51 kWh,11.6,16.28,1
IN-KL-ELC-86829181,26-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,33.89,65.81,15.52 kWh,28.02321257449817 kWh,80.56,17.26,1
IN-KL-ELC-91636239,30-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,34.55,59.19,15.84 kWh,20.178528221934084 kWh,27.39,16.47,1
IN-KL-ELC-25737030,11-01-2023,IN_KL_ERN,Independent House,4,2725,11,3.75,29.19,50.85,14.09 kWh,null,-0.92,16.43,1
IN-KL-ELC-72267329,02-01-2023,IN_KL_ERN,Villa,2,1438,13,4.71,31.95,71.86,13.88 kWh,17.07504201080632 kWh,23.02,16.28,1
IN-KL-ELC-42410429,12-01-2023,IN_KL_ERN,Apartment,4,2455,7,2.57,30.78,81.78,12.12 kWh,17.148560398976535 kWh,41.49,16.61,1
IN-KL-ELC-95384842,17-01-2023,IN_KL_TVM,Independent House,3,992,13,7.19,38.35,57.95,18.5 kWh,17.66 kWh,-4.54,16.89,0
IN-KL-ELC-77934995,14-01-2023,IN_KL_TVM,Apartment,3,2725,13,7.29,28.26,46.58,16.09 kWh,15.32 kWh,-4.79,17.26,0
IN-KL-ELC-77596010,20-01-2023,IN_KL_ERN,Apartment,1,2316,6,2.69,29.34,65.56,8.33 kWh,7.98 kWh,-4.2,16.61,1
IN-KL-ELC-92912126,12-01-2023,IN_KL_ALP,Independent House,4,622,17,3.12,27.31,67.62,15.25 kWh,15.47 kWh,1.44,17.83,0
IN-KL-ELC-92912126,16-01-2023,IN_KL_ALP,Independent House,4,622,17,3.12,32.29,57,null,24.51607731070692 kWh,49.22,17.83,1
IN-KL-ELC-98421014,01-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,30.98,63.63,15.86 kWh,24.544792020402394 kWh,54.76,16.89,1
IN-KL-ELC-39118096,01-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,25.21,73.23,12.24 kWh,10.66 kWh,-12.91,16.61,1
IN-KL-ELC-18533227,15-01-2023,IN_KL_TVM,Apartment,4,2790,21,4.08,31.12,70.25,18.31 kWh,23.148915587580255 kWh,26.43,17.26,1
IN-KL-ELC-46022951,10-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,36.19,50.98,18.41 kWh,18.46 kWh,0.27,16.47,0
IN-KL-ELC-57752628,08-01-2023,IN_KL_TVM,Independent House,3,2777,7,5.09,31.28,83.34,13.01 kWh,10.98 kWh,-15.6,16.89,1
IN-KL-ELC-96990855,19-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,26.85,73.34,17.83 kWh,18.56 kWh,4.09,16.26,0
IN-KL-ELC-16312174,21-01-2023,IN_KL_TVM,Apartment,4,453,19,3.77,31.18,49.3,17.38 kWh,17.34 kWh,-0.23,17.26,0
IN-KL-ELC-65776530,11-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,26.3,54.71,9.9 kWh,null,36.64,16.43,1
IN-KL-ELC-91636239,23-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,30.59,54.15,14.96 kWh,14.3 kWh,-4.41,16.47,0
IN-KL-ELC-11824099,10-01-2023,IN_KL_TVM,Independent House,1,964,13,7.41,31.43,61.15,14.72 kWh,21.541346604949503 kWh,46.34,16.89,1
IN-KL-ELC-28743962,07-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,28.03,73.38,18.44 kWh,19.33 kWh,4.83,16.43,0
IN-KL-ELC-96877514,13-01-2023,IN_KL_ALP,Apartment,5,1477,8,3.54,32.21,59.64,14.62 kWh,26.608325716409876 kWh,82,16.47,1
IN-KL-ELC-61443706,07-01-2023,IN_KL_TVM,Independent House,5,2500,9,4.71,27.91,64.44,14.9 kWh,20.9152572200068 kWh,40.37,16.89,1
IN-KL-ELC-68820657,15-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,24.38,74.74,12.12 kWh,13.25 kWh,9.32,16.43,0
IN-KL-ELC-18533227,05-01-2023,IN_KL_TVM,Apartment,4,2790,21,4.08,30.34,52.83,18.1 kWh,25.365341564912185 kWh,40.14,17.26,1
IN-KL-ELC-86401151,10-01-2023,IN_KL_TVM,Apartment,2,1498,15,3.46,32.05,51.63,13.65 kWh,12.76 kWh,-6.52,17.26,0
IN-KL-ELC-81023113,20-01-2023,IN_KL_TVM,Independent House,1,2076,14,6.17,44.39,61.88,16.81 kWh,30.699124960202685 kWh,82.62,16.89,1
IN-KL-ELC-73453717,06-01-2023,IN_KL_ALP,Villa,6,694,19,6.97,26.56,69.1,20.56 kWh,21.15 kWh,2.87,16.26,0
IN-KL-ELC-55367153,06-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,32.6,54.62,13.72 kWh,13.26 kWh,-3.35,16.89,0
IN-KL-ELC-15833790,06-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,28.23,65.67,14.78 kWh,24.75465135223823 kWh,67.49,16.89,1
IN-KL-ELC-65776530,24-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,23.26,72.76,9.42 kWh,10.67 kWh,13.27,16.43,1
IN-KL-ELC-71807372,09-01-2023,IN_KL_ALP,Apartment,6,1129,11,5.78,29.72,81.54,17.91 kWh,23.030831715404325 kWh,28.59,16.47,1
IN-KL-ELC-39176775,11-01-2023,IN_KL_ERN,Independent House,6,2654,12,2.98,28.13,56.14,15.78 kWh,15.49 kWh,-1.84,16.43,0
IN-KL-ELC-37411538,01-01-2023,IN_KL_TVM,Apartment,3,1837,6,7.27,29.36,49.33,13.92 kWh,14.67 kWh,5.39,17.26,0
IN-KL-ELC-72267329,24-01-2023,IN_KL_ERN,Villa,2,1438,13,4.71,36.35,84.41,14.77 kWh,13.92 kWh,-5.75,16.28,0
IN-KL-ELC-73898526,27-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,28.87,80.08,null,17.16 kWh,-2.5,16.89,0
IN-KL-ELC-85879717,26-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,27.45,51.33,12.85 kWh,12.98 kWh,1.01,16.47,0
IN-KL-ELC-21680006,05-01-2023,IN_KL_ERN,Independent House,6,1352,17,2.52,24.97,82.94,16.31 kWh,26.838151311982745 kWh,64.55,16.43,1
IN-KL-ELC-55788629,11-01-2023,IN_KL_ERN,Apartment,5,1166,15,7.36,23.85,58.65,17.68 kWh,19.14 kWh,8.26,16.61,0
IN-KL-ELC-63597471,28-01-2023,IN_KL_ALP,Independent House,2,2460,13,6.73,27.63,82.43,14.46 kWh,13.19 kWh,-8.78,17.83,0
IN-KL-ELC-16312174,13-01-2023,IN_KL_TVM,Apartment,4,453,19,3.77,32.08,72.88,17.61 kWh,16.79 kWh,-4.66,17.26,0
IN-KL-ELC-79615917,25-01-2023,IN_KL_ALP,Independent House,6,612,8,6.32,35.63,63.37,18.81 kWh,17.11 kWh,-9.04,17.83,0
IN-KL-ELC-75763311,15-01-2023,IN_KL_TVM,Villa,2,2736,10,7.84,32.98,70.77,15.44 kWh,26.668723644763297 kWh,72.72,16.02,1
IN-KL-ELC-68639880,11-01-2023,IN_KL_TVM,Independent House,4,1871,17,6.97,33.66,54.57,19.81 kWh,20.25 kWh,2.22,16.89,0
IN-KL-ELC-72588770,01-01-2023,IN_KL_ALP,Independent House,6,460,7,5.2,30.71,48.97,16.32 kWh,18.63 kWh,14.15,17.83,0
IN-KL-ELC-48945390,15-01-2023,IN_KL_ERN,Independent House,2,2034,13,6.02,25.98,51.53,13.59 kWh,12.55 kWh,-7.65,16.43,0
IN-KL-ELC-68820657,18-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,33.45,55.79,13.93 kWh,15.09 kWh,8.33,16.43,0
IN-KL-ELC-48945390,05-01-2023,IN_KL_ERN,Independent House,2,2034,13,6.02,25.13,47.6,13.41 kWh,null,1.57,16.43,1
IN-KL-ELC-57340243,17-01-2023,IN_KL_ERN,Independent House,6,823,7,5.16,28.55,58.59,15.77 kWh,17.37 kWh,10.15,16.43,0
IN-KL-ELC-44179469,17-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,27.56,62.91,16.64 kWh,16.93 kWh,1.74,16.61,0
IN-KL-ELC-39176775,21-01-2023,IN_KL_ERN,Independent House,6,2654,12,2.98,33.23,79.74,17.02 kWh,26.079871065280827 kWh,53.23,16.43,1
IN-KL-ELC-22704224,17-01-2023,IN_KL_TVM,Apartment,3,476,16,3.31,34.24,67.79,15.51 kWh,26.16936520437447 kWh,68.73,17.26,1
IN-KL-ELC-22833202,16-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,32.29,84.31,13.11 kWh,13.35 kWh,1.83,17.83,0
IN-KL-ELC-83561788,15-01-2023,IN_KL_TVM,Apartment,3,2229,16,7.43,31.72,55.56,18.13 kWh,19.15 kWh,5.63,17.26,0
IN-KL-ELC-20492608,08-01-2023,IN_KL_ERN,Villa,4,922,20,3.09,29.97,61.12,16.91 kWh,16.84 kWh,-0.41,16.28,0
IN-KL-ELC-36393561,14-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,33.65,70.54,13.56 kWh,12.62 kWh,-6.93,16.61,0
IN-KL-ELC-46022951,03-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,23.92,65.78,15.31 kWh,null,14.7,16.47,1
IN-KL-ELC-70260372,18-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,28.71,69.85,14.24 kWh,15.76 kWh,10.67,16.43,0
IN-KL-ELC-90250627,09-01-2023,IN_KL_TVM,Independent House,4,2147,9,3.54,28.4,77.37,null,11.74 kWh,-10.24,16.89,1
IN-KL-ELC-93959968,03-01-2023,IN_KL_TVM,Independent House,6,2044,21,3.7,30.84,69.87,20.17 kWh,19.44 kWh,-3.62,16.89,0
IN-KL-ELC-63901775,11-01-2023,IN_KL_TVM,Villa,6,583,9,3.65,34.32,57.35,16.7 kWh,33.36648163661962 kWh,99.8,16.02,1
IN-KL-ELC-77385755,19-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,28.05,80.81,18.41 kWh,17.88 kWh,-2.88,17.26,0
IN-KL-ELC-96877514,11-01-2023,IN_KL_ALP,Apartment,5,1477,8,3.54,30.03,60.6,14.16 kWh,13.36 kWh,-5.65,16.47,0
IN-KL-ELC-96877514,22-01-2023,IN_KL_ALP,Apartment,5,1477,8,3.54,26.97,69.48,13.51 kWh,13.1 kWh,-3.03,16.47,0
IN-KL-ELC-70410608,30-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,31.82,79.02,null,null,-6.86,16.89,1
IN-KL-ELC-34699748,05-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,30.55,50.86,12.16 kWh,16.549284193845963 kWh,36.1,16.43,1
IN-KL-ELC-63187488,26-01-2023,IN_KL_ERN,Villa,2,1907,20,5.23,30.1,48.78,16.35 kWh,21.088051869472636 kWh,28.98,16.28,1
IN-KL-ELC-50932588,22-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,30,76.51,19.18 kWh,31.881619705626253 kWh,66.22,16.61,1
IN-KL-ELC-19637600,05-01-2023,IN_KL_TVM,Villa,4,1833,10,6.97,34.36,62.62,17.39 kWh,18.14 kWh,4.31,16.02,0
IN-KL-ELC-67819755,12-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,25.69,75.68,15.49 kWh,18.01 kWh,16.27,16.28,0
IN-KL-ELC-66694772,11-01-2023,IN_KL_TVM,Independent House,1,1962,14,6.9,33.16,78.04,15.06 kWh,14.62 kWh,-2.92,16.89,0
IN-KL-ELC-82309447,14-01-2023,IN_KL_ERN,Independent House,6,2795,15,7.46,31.58,61.65,21.13 kWh,20.21 kWh,-4.35,16.43,0
IN-KL-ELC-13794510,10-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,32.45,45.68,19.91 kWh,32.7330056703657 kWh,64.4,16.89,1
IN-KL-ELC-63597471,04-01-2023,IN_KL_ALP,Independent House,2,2460,13,6.73,31.54,58.8,15.34 kWh,16.46 kWh,7.3,17.83,0
IN-KL-ELC-42948810,19-01-2023,IN_KL_ERN,Independent House,1,1254,16,5.82,24.21,80.91,13.03 kWh,18.73213757488408 kWh,43.76,16.43,1
IN-KL-ELC-91609437,27-01-2023,IN_KL_TVM,Apartment,6,1529,6,3.62,30.29,59.48,14.68 kWh,13.56 kWh,-7.63,17.26,0
IN-KL-ELC-90250627,02-01-2023,IN_KL_TVM,Independent House,4,2147,9,3.54,30.67,78.72,13.54 kWh,12.66 kWh,-6.5,16.89,0
IN-KL-ELC-32146342,25-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,30.6,51.61,17.97 kWh,27.220517242346567 kWh,51.48,17.26,1
IN-KL-ELC-19440794,14-01-2023,IN_KL_ALP,Independent House,2,1172,14,7.09,30.64,60.75,15.77 kWh,13.59 kWh,-13.82,17.83,0
IN-KL-ELC-66129276,06-01-2023,IN_KL_ALP,Apartment,3,2673,21,6.26,29.58,56.75,null,19.96 kWh,8.3,16.47,0
IN-KL-ELC-83946125,22-01-2023,IN_KL_ERN,Apartment,5,1001,17,2.84,34.87,57.8,18.01 kWh,null,-4.66,16.61,1
IN-KL-ELC-83633639,24-01-2023,IN_KL_TVM,Villa,4,1490,9,2.88,32.36,67.62,13.37 kWh,12.23 kWh,-8.53,16.02,0
IN-KL-ELC-68897751,30-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,28.47,62.97,17.47 kWh,21.13687904533191 kWh,20.99,17.26,1
IN-KL-ELC-34698377,03-01-2023,IN_KL_ERN,Independent House,3,1330,18,3.19,30.29,82.77,15.26 kWh,15.46 kWh,1.31,16.43,0
IN-KL-ELC-60935907,10-01-2023,IN_KL_TVM,Apartment,2,1823,20,3.54,25.6,68,14.06 kWh,19.691565294943846 kWh,40.05,17.26,1
